Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on Mar. 19 2020,,,,,,,,,,,,,,,,,,,,,,,
Database maintained by Karl Stapelfeldt. Last updated Mar. 13 2020,,,,,,,,,,,,,,,,,,,,,,,
Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns),Secondary Name,RA (J2000),DEC (J2000),Star-Forming Region,Class,Disk Minor Axis&quot;,Major axis PA,Spatial Resolution &quot;,Date Added,Date Updated,Fractional Infrared Luminosity,XRay Bright,Variable Star,Halpha equivalent width
HD 17848,Debris,A2V,5.34,50.5,15.28,772,67.3,3.7,70,,02 49 01.49,-62 48 23.5,,,5.9,153.8,4.125,7/17/2017,12/26/2019 18:53,,,,
CIDA 9,TT,M4,14.5,171,0.46,79,46,3.8,1330,,05 05 22.86,+25 31 31.2,,II,,103,0.12,12/18/2018,12/23/2019 22:06,,,,
HD 50571,Debris,F5V,7.26,33.6,15.47,520,68.2,3.8,70,,06 50 01.02,-60 14 56.9,,,5.71,121.2,4.125,7/17/2017,12/26/2019 18:33,,,,
GSS 39,YSO,M0,,125,3.17,396.3,60,4,880,,16 26 45.06,-24 23 07.7,,,,110,0.8,1/1/2005,8/30/2017 12:30,,0,0,
IRAS 18151-1208,YSO,,,3000,3.3,9900,,4.1,1.4,,18 17 58.2,-12 07 28,,,,29,0.8,1/1/2005,1/12/2016,,0,0,
CRBR 2422.8-3423,YSO,,,125,1.5,187.5,70,4.3,2.2,,16 27 24.61,-24 41 03.4,,,,45,0.35,1/1/2005,1/12/2016,,0,0,
OPH-E_MM3,YSO,,,140,1.5,210,90,4.3,2.2,,16 27 05.91,-24 37 08.2,,,,85,0.35,1/1/2005,1/12/2016,,0,0,
SR 24 S,TT,K1,14.2,114.4,0.78,89,50,4.3,1330,WSB 42,16 26 58.52,-24 45 35.0,Ophiuchus,II,,28,0.18,1/1/2005,1/28/2020 12:01,,0,0,
IP Tau,TT,M0,12.5,130,0.53,69,45,4.4,1330,,04 24 57.08,+27 11 56.5,Taurus,II,,173,0.12,12/23/2019,12/23/2019 22:28,,,,
Orion 051-3541,UC,,20,414,0.35,145,90,4.4,0.9,,05 35 05.05,-05 35 40.8,,,,100,0.08,1/1/2005,12/26/2019 14:37,,0,0,
Orion 183-419,UC,,,414,0.25,103.5,65,4.4,0.66,,05 35 18.31,-05 24 19.0,,,0.1,70,0.06,1/1/2005,1/12/2016,,0,0,
HT Lup A,TT,K2,10.5,154,0.156,24,48,4.5,1250,Sz 68 A,15 45 12.85,-34 17 31.0,Lupus I,II,0.104,166,0.035,1/1/2005,2/11/2020 13:22,,0,0,
Orion 090-326,UC,,,414,0.3,124,60,5,0.66,,05 35 09.02,-05 23 26.2,,,0.15,50,0.06,1/1/2005,12/26/2019 12:43,,0,0,
HR 8799,Debris,A5?,5.8,40,28.4,1136,26,5.1,70,HD 218396,23 07 28.71,+21 08 03.3,,,25,62.1,5.61,1/1/2005,12/19/2019 10:04,0.0001,0,0,
LkCa 15,TT,K5,11.8,140,9.3,1302,52,5.2,1300.39,,04 39 17.78,+22 21 03.5,,,,61,1.8,1/1/2005,1/2/2018 11:37,,0,0,
UY Aur,TT,K7,10,140,30,4200,42,5.2,2720.38,,04 51 47.37,+30 47 13.9,,,,135,5.8,1/1/2005,1/12/2016,,0,0,
Orion 165-254,UC,,,414,0.3,124.2,71,5.3,0.66,,05 35 16.54,-05 22 53.8,,,0.1,4,0.06,1/1/2005,12/23/2019 16:32,,0,0,
Orion 182-332,UC,,,414,0.3,124.2,60,5.3,0.66,,05 35 18.12,-05 23 31.5,,,0.1,0,0.06,1/1/2005,1/12/2016,,0,0,
Orion 191-232,UC,,,414,0.3,124.2,65,5.3,0.66,,05 35 19.13,-05 22 31.7,,,0.1,168,0.06,1/1/2005,12/23/2019 16:29,,0,0,
FT Tau,TT,M3,13.2,127,0.66,84,36,5.5,1330,,04 23 39.19,+24 56 14.4,Taurus,II,,123,0.12,1/1/2005,,,0,0,
HD 195627,Debris,F1III,4.84,27.8,23.2,645,53.9,5.6,70,,20 35 34.85,-60 34 54.3,,,13.69,92.4,4.125,7/17/2017,12/26/2019 18:50,,,,
HD 170773,Debris,F5,6.67,37,23.51,870,31.2,5.7,70,,18 33 00.92,-39 53 31.3,,,20.11,115.3,4.125,7/17/2017,12/26/2019 18:51,,,,
IRAS 04325+2402,TT,,,140,1,60,83,5.7,2.05,,04 35 33.0,+24 08 14,,,0.5,,0.18,1/1/2005,1/12/2016,,0,0,
AS 205 B,TT,K7+M0,14,128,0.19,24,66,6.1,1250,V866 Sco B,16 11 31.30,-18 38 27.3,Ophiuchus,,0.08,110,0.031,12/22/2018,12/22/2019 22:37,,,,
Orion 4538-311,UC,,,414,0.43,178,82,6.1,0.78,,05 34 53.79,-05 23 10.7,,,,150,0.07,1/1/2005,12/26/2019 14:53,,0,0,
Orion 294-757,UC,,,414,0.43,178,,6.5,0.78,,05 35 29.43,-05 37 56.6,,,,70,0.07,1/1/2005,1/12/2016,,0,0,
NGC 1333 IRAS 3B,YSO,,,230,1.78,409,45,6.6,1300,,03 25 36.3,+30 45 15.0,Perseus,0,1.25,29,0.27,11/27/2017,11/27/2017 21:47,,,,
Orion 281-306,UC,M3e,,414,0.4,166,1,6.7,0.66,,05 35 28.13,-05 23 06.5,,,,,0.06,1/1/2005,12/26/2019 14:50,,0,0,
HD 191089,Debris,F5 V,7,54,3.3,178,55,7,18.2,,20 09 05.21,-26 13 26.5,,,,80,0.47,1/1/2005,7/14/2017 8:28,0.0015,0,0,
DS Tau,TT,M0,12.4,159,0.85,135,65,7.1,1330,,04 47 49.00,+29 25 11.2,Taurus,II,,160,0.12,2/3/2018,12/23/2019 21:51,,,,
Orion 182-413,UC,,16.2,414,0.4,165.6,80,7.1,0.66,,05 35 18.21,-05 24 13.4,,,0.1,86,0.06,1/1/2005,1/12/2016,,0,0,
Orion 203-506,UC,,,414,0.4,165.6,67,7.1,0.66,,05 35 20.30,-05 25 05.7,,,0.2,16,0.06,1/1/2005,1/12/2016,,0,0,
Orion 218-529,UC,,,414,0.4,165.6,60,7.1,0.66,,05 35 21.82,-05 25 28.7,,,0.2,176,0.06,1/1/2005,1/12/2016,,0,0,
DN Tau,TT,M0,11.5,128,0.88,113,35,7.3,1330,,04 35 27.37,+24 14 59.1,Taurus,II,,79,0.12,1/1/2005,12/23/2019 21:34,,0,0,
Vega,Debris,A0,0.1,7.8,140,1092,0,8.2,70,HD 172167,18 36 56.34,+38 47 01.3,,,140,,16.99,1/1/2005,8/6/2017 16:40,,0,0,
Orion 132-042,UC,,,414,0.5,207,60,8.3,0.66,,05 35 13.24,-05 20 41.9,,,,85,0.06,1/1/2005,12/26/2019 14:42,,0,0,
Elias 2-27,YSO,M0,,140,4.3,602,56,8.6,1300,,16 26 45.03,-24 23 07.8,Ophiuchus,II,,117,0.5,8/30/2017,12/15/2019 9:54,,,,
Orion 124-132,UC,,,414,0.5,207,,8.9,0.66,,05 35 12.38,-05 21 31.5,,,,0,0.06,1/1/2005,1/12/2016,,0,0,
Orion 167-231,UC,M4,,414,0.5,207,30,8.9,0.66,,05 35 16.73,-05 22 31.4,,,0.5,,0.06,1/1/2005,12/23/2019 16:37,,0,0,
Orion 239-334,UC,,,414,0.5,207,66,8.9,0.66,,05 35 23.86,-05 23 34.1,,,0.2,17,0.06,1/1/2005,1/12/2016,,0,0,
PDS 66,TT,K1 IV,10.3,86,0.82,71,32,9.1,1.1,MP Mus,13 22 07.55,-69 38 12.2,,,,,0.09,1/1/2005,3/18/2019 22:12,,0,0,
MWC 480,HAe,A2e,7.8,161,1.3,209,36,9.3,1330,,04 58 46.26,+29 50 37.0,Taurus,II,,148,0.14,1/1/2005,12/23/2019 21:31,,0,0,
GG Tau,TT,K7,10.8,140,8.6,1204,37,9.8,1360.22,,04 32 30.30,+17 31 41.0,Taurus,,,97,0.88,1/1/2005,10/21/2019 17:26,,0,0,
V883 Ori,YSO,,,414,0.3,124,38,10,1300,,05 38 18.10,-07 02 26.0,Orion,I,,34,0.03,8/8/2017,12/26/2019 18:47,,,,
DL Tau,TT,K7,11.8,159,1.23,196,45,10.3,1330,,04 33 39.07,+25 20 38.1,Taurus,II,,52,0.12,1/1/2005,12/23/2019 21:21,,0,0,
Orion 193-1659,UC,,,414,0.8,331.2,,10.3,0.9,,05 35 19.25,-05 16 58.7,,,,100,0.08,1/1/2005,1/12/2016,,0,0,
UZ Tau E,TT,M1,11.2,131,1.24,162,56,10.3,1330,,04 32 43.07,+25 52 31.1,Taurus,II,2,90,0.12,1/1/2005,12/23/2019 21:15,,0,0,
IQ Tau,TT,M0.5,12.4,131,1.47,193,62,10.5,1330,,04 29 51.56,+26 06 44.8,Taurus,II,0,42,0.14,1/1/2005,12/23/2019 21:28,,0,0,
Orion 321-602,TT,,22,440,0.6,264,85,10.7,0.65,,05 35 32.10,-05 26 01.9,Orion,,,121,0.05586,12/26/2009,12/26/2019 12:30,,,,
2MASSI J1628137-243139,TT,,17.7,140,4.3,602,86,10.8,2.1,&quot;Flying Saucer&quot;,16 28 13.70,-24 31 39.0,,,2.4,95,0.4,1/1/2005,10/29/2018 20:44,,0,0,
V4046 Sgr,TT,K5,9.6,73,2.5,183,32,10.9,870,,18 14 10.47,-32 47 34.5,,,,74,0.23,1/1/2005,12/23/2019 16:04,,0,0,
HD 135344B,HAe,F4Ve,8.7,140,1.15,161,20,11.5,1.15,SAO 206462B,15 15 48.44,-37 09 16.0,,,0.4,56,0.1,1/1/2005,10/21/2019 18:01,,0,0,
Orion 141-1952,UC,G8?,,414,0.7,290,25,11.7,0.66,,05 35 14.05,-05 19 52.1,,,,40,0.06,1/1/2005,12/26/2019 14:45,,0,0,
